date,hpi,country,mortgage_rate,gdp_growth,unemployment,permits,ecb_rate,hpi_growth,hpi_growth_yoy,mort_lag1,mort_lag2,mort_lag3,mort_lag4,post_qe,mort_change,mort_change_lag1,mort_x_post_qe
2009-12-31,96.2165,FR,3.99,0.4,9.533334,101.8,0.25,0.3135041359191959,-3.225790229090253,4.156666666666667,4.43,4.983333333333333,5.273333333333333,0,-0.16666666666666696,-0.27333333333333254,0.0
2010-03-31,96.9181,FR,3.86,0.4,9.4,115.4,0.25,0.7291888605384766,1.256537610457653,3.99,4.156666666666667,4.43,4.983333333333333,0,-0.13000000000000034,-0.16666666666666696,0.0
2010-06-30,98.8224,FR,3.7000000000000006,0.5,9.266666,119.9,0.25,1.9648548619917383,4.670996606377975,3.86,3.99,4.156666666666667,4.43,0,-0.15999999999999925,-0.13000000000000034,0.0
2010-09-30,101.5284,FR,3.5666666666666664,0.2,9.2,119.9,0.25,2.738245579949483,5.8515906659799555,3.7000000000000006,3.86,3.99,4.156666666666667,0,-0.1333333333333342,-0.15999999999999925,0.0
2010-12-31,102.7311,FR,3.44,-0.3,9.2,117.9,0.25,1.1845946552885733,6.770772164857375,3.5666666666666664,3.7000000000000006,3.86,3.99,0,-0.12666666666666648,-0.1333333333333342,0.0
2011-03-31,103.3325,FR,3.546666666666667,0.6,9.166667,124.3,0.25,0.5854118178428847,6.618371594160433,3.44,3.5666666666666664,3.7000000000000006,3.86,0,0.10666666666666691,-0.12666666666666648,0.0
2011-06-30,105.337,FR,3.7866666666666666,0.1,9.133333,129.0,0.46703296703296704,1.93985435366415,6.592230101677354,3.546666666666667,3.44,3.5666666666666664,3.7000000000000006,0,0.23999999999999977,0.10666666666666691,0.0
2011-09-30,107.542,FR,3.9233333333333333,0.0,9.2,139.3,0.717391304347826,2.093281562983562,5.923071771051247,3.7866666666666666,3.546666666666667,3.44,3.5666666666666664,0,0.13666666666666671,0.23999999999999977,0.0
2011-12-31,106.5397,FR,3.94,0.4,9.366667,131.5,0.5570652173913043,-0.9320079596808695,3.7073486023219804,3.9233333333333333,3.7866666666666666,3.546666666666667,3.44,0,0.016666666666666607,0.13666666666666671,0.0
2012-03-31,105.1366,FR,4.010000000000001,0.2,9.5,120.3,0.25,-1.3169738604482562,1.7459173057847277,3.94,3.9233333333333333,3.7866666666666666,3.546666666666667,0,0.07000000000000073,0.016666666666666607,0.0
